IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,. [.-],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,. [.-],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,. [.-],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,. [.-],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,. [.-],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,. [.-],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.4,,,0.4,,0.4,0.4 [0.4 – 0.4],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.5,,,0.3,,0.6,0.5 [0.3 – 0.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.6,,,0.5,,0.6,0.6 [0.5 – 0.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.6,,,0.6,,0.7,0.6 [0.6 – 0.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.8,,,0.8,,0.9,0.8 [0.8 – 0.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,0.9,,,0.9,,1,0.9 [0.9 – 1],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,1.1,,,0.8,,1.5,1.1 [0.8 – 1.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,true,Sex,Male,MLE,,,,,,,,,,1.1,,,1,,1.2,1.1 [1 – 1.2],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,NER,Niger,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.2,,,1.1,,1.2,1.2 [1.1 – 1.2],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.2,,,1.2,,1.3,1.2 [1.2 – 1.3],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2016,true,Sex,Male,MLE,,,,,,,,,,1.3,,,0.9,,1.7,1.3 [0.9 – 1.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,1.3,,,1.2,,1.3,1.3 [1.2 – 1.3],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,1.3,,,1.2,,1.4,1.3 [1.2 – 1.4],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.4,,,1.3,,1.5,1.4 [1.3 – 1.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,MRT,Mauritania,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.4,,,1.3,,1.5,1.4 [1.3 – 1.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.4,,,1.3,,1.5,1.4 [1.3 – 1.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.4,,,1.4,,1.5,1.4 [1.4 – 1.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.5,,,1.4,,1.6,1.5 [1.4 – 1.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,true,Sex,Male,MLE,,,,,,,,,,1.5,,,1.4,,1.7,1.5 [1.4 – 1.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.6,,,1.4,,1.7,1.6 [1.4 – 1.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,SEN,Senegal,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.7,,,1.5,,1.8,1.7 [1.5 – 1.8],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2016,true,Sex,Male,MLE,,,,,,,,,,1.7,,,1.6,,1.9,1.7 [1.6 – 1.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.8,,,1.7,,1.8,1.8 [1.7 – 1.8],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,1.9,,,1.8,,2.1,1.9 [1.8 – 2.1],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10,,,9.5,,10.5,10 [9.5 – 10.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10,,,9.5,,10.6,10 [9.5 – 10.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,10,,,9.6,,10.4,10 [9.6 – 10.4],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,ARM,Armenia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10,,,9.6,,10.5,10 [9.6 – 10.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,NOR,Norway,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,10,,,9.7,,10.3,10 [9.7 – 10.3],,,EN,2018-08-22T22:00:00.000Z
